"game_id","play_id","half","shooter","shot_outcome","shooter_team","shot_outcome_numeric","shot_sequence","previous_shots"
401168325,24,1,"Ty-Shon Alexander","missed","Creighton",-1,-1,0
401169470,24,1,"Saddiq Bey","made","Villanova",1,2,1
401168302,24,1,"Saddiq Bey","missed","Villanova",-1,-4,-3
401168331,24,1,"Cole Swider","missed","Villanova",-1,-1,0
401168306,24,1,"Saddiq Bey","made","Villanova",1,1,-1
401168419,24,1,"Brendan Bailey","missed","Marquette",-1,-2,-1
401169471,24,1,"Justyn Hamilton","missed","Temple",-1,-1,1
401169786,24,1,"Saddiq Bey","missed","Villanova",-1,-1,1
401168470,24,1,"Greg Williams Jr.","missed","St. John's",-1,-2,-1
401168404,24,1,"Jahvon Blair","missed","Georgetown",-1,-1,0
401169778,25,1,"Tommy Funk","missed","Army",-1,-1,0
401166061,25,1,"Duane Washington Jr.","made","Ohio State",1,3,2
401169779,25,1,"Jermaine Samuels","missed","Villanova",-1,-1,1
401182609,25,1,"Reggie Perry","made","Mississippi State",1,2,1
401169781,25,1,"David Beatty","missed","La Salle",-1,-2,-1
401169661,25,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,-1
401169785,25,1,"Saddiq Bey","missed","Villanova",-1,-3,-2
401168396,25,1,"Jeremiah Robinson-Earl","made","Villanova",1,1,-1
401169470,25,1,"Josh Carlton","missed","UConn",-1,-1,2
401168435,25,1,"Maliek White","missed","Providence",-1,-1,0
401168468,25,1,"Collin Gillespie","missed","Villanova",-1,-2,-1
401168306,25,1,"Kamar Baldwin","missed","Butler",-1,-1,1
401168378,25,1,"Charlie Moore","missed","DePaul",-1,-1,1
401168439,25,1,"Collin Gillespie","missed","Villanova",-1,-2,-1
401166061,26,1,"Jermaine Samuels","missed","Villanova",-1,-1,0
401185770,26,1,"Jared Butler","missed","Baylor",-1,-1,1
401169782,26,1,"Ryan Betley","missed","Pennsylvania",-1,-1,1
401169783,26,1,"Myles Douglas","made","Saint Joseph's",1,1,0
401169784,26,1,"Nate Darling","missed","Delaware",-1,-1,1
401168325,26,1,"Ty-Shon Alexander","made","Creighton",1,1,-1
401168396,26,1,"Mac McClung","missed","Georgetown",-1,-1,1
401168352,26,1,"Jaylen Butz","made","DePaul",1,1,-1
401168302,26,1,"Sean McDermott","missed","Butler",-1,-2,-1
401168331,26,1,"Marcus Zegarowski","made","Creighton",1,1,-1
401168419,26,1,"Koby McEwen","missed","Marquette",-1,-1,-1
401168470,26,1,"Justin Moore","made","Villanova",1,2,1
401168454,26,1,"Myles Powell","made","Seton Hall",1,1,-1
401168404,26,1,"Dhamir Cosby-Roundtree","made","Villanova",1,1,0
401169780,27,1,"Justin Moore","made","Villanova",1,2,1
401169781,27,1,"Jared Kimbrough","made","La Salle",1,1,0
401169783,27,1,"Saddiq Bey","made","Villanova",1,1,0
401169785,27,1,"Cole Swider","made","Villanova",1,1,0
401168413,27,1,"Markus Howard","missed","Marquette",-1,-1,2
401168325,27,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-2,-1
401168352,27,1,"Jaylen Butz","made","DePaul",1,2,1
401169470,27,1,"Saddiq Bey","made","Villanova",1,3,2
401168468,27,1,"Nick Rutherford","missed","St. John's",-1,-1,0
401168331,27,1,"Collin Gillespie","missed","Villanova",-1,-1,-1
401168306,27,1,"Saddiq Bey","missed","Villanova",-1,-1,1
401168452,27,1,"Quincy McKnight","missed","Seton Hall",-1,-1,2
401169471,27,1,"Jake Forrester","missed","Temple",-1,-2,-1
401168378,27,1,"Collin Gillespie","made","Villanova",1,1,-1
401169786,27,1,"Naji Marshall","missed","Xavier",-1,-1,1
401168454,27,1,"Saddiq Bey","made","Villanova",1,1,-1
401168404,27,1,"Jagan Mosely","missed","Georgetown",-1,-1,0
401169778,28,1,"Justin Moore","made","Villanova",1,1,0
401166061,28,1,"Duane Washington Jr.","made","Ohio State",1,4,3
401182609,28,1,"Collin Gillespie","made","Villanova",1,2,1
